07131,Ahrweiler,Landkreis
09771,Aichach-Friedberg,Landkreis
16077,Altenburger Land,Landkreis
07132,Altenkirchen (Westerwald),Landkreis
09171,Altötting,Landkreis
07331,Alzey-Worms,Landkreis
09361,Amberg,Kreisfreie Stadt
09371,Amberg-Sulzbach,Landkreis
03451,Ammerland,Landkreis
15082,Anhalt-Bitterfeld,Landkreis
09571,Ansbach,Landkreis
09561,Ansbach,Kreisfreie Stadt
09661,Aschaffenburg,Kreisfreie Stadt
09671,Aschaffenburg,Landkreis
09772,Augsburg,Landkreis
09761,Augsburg,Kreisfreie Stadt
03452,Aurich,Landkreis
07332,Bad Dürkheim,Landkreis
09672,Bad Kissingen,Landkreis
07133,Bad Kreuznach,Landkreis
09173,Bad Tölz-Wolfratshausen,Landkreis
08211,Baden-Baden,Stadtkreis
09471,Bamberg,Landkreis
09461,Bamberg,Kreisfreie Stadt
12060,Barnim,Landkreis
14625,Bautzen,Landkreis
09472,Bayreuth,Landkreis
09462,Bayreuth,Kreisfreie Stadt
09172,Berchtesgadener Land,Landkreis
06431,Bergstraße,Landkreis
11000,Berlin,Kreisfreie Stadt
07231,Bernkastel-Wittlich,Landkreis
08426,Biberach,Landkreis
05711,Bielefeld,Kreisfreie Stadt
07134,Birkenfeld,Landkreis
05911,Bochum,Kreisfreie Stadt
05314,Bonn,Kreisfreie Stadt
05554,Borken,Kreis
05512,Bottrop,Kreisfreie Stadt
12051,Brandenburg an der Havel,Kreisfreie Stadt
03101,Braunschweig,Kreisfreie Stadt
08315,Breisgau-Hochschwarzwald,Landkreis
04011,Bremen,Kreisfreie Stadt
04012,Bremerhaven,Kreisfreie Stadt
08115,Böblingen,Landkreis
15083,Börde,Landkreis
08235,Calw,Landkreis
03351,Celle,Landkreis
09372,Cham,Landkreis
14511,Chemnitz,Kreisfreie Stadt
03453,Cloppenburg,Landkreis
09463,Coburg,Kreisfreie Stadt
09473,Coburg,Landkreis
07135,Cochem-Zell,Landkreis
05558,Coesfeld,Kreis
12052,Cottbus,Kreisfreie Stadt
03352,Cuxhaven,Landkreis
09174,Dachau,Landkreis
12061,Dahme-Spreewald,Landkreis
06411,Darmstadt,Kreisfreie Stadt
06432,Darmstadt-Dieburg,Landkreis
09271,Deggendorf,Landkreis
03401,Delmenhorst,Kreisfreie Stadt
15001,Dessau-Roßlau,Kreisfreie Stadt
03251,Diepholz,Landkreis
09773,Dillingen a.d. Donau,Landkreis
09279,Dingolfing-Landau,Landkreis
01051,Dithmarschen,Kreis
09779,Donau-Ries,Landkreis
05913,Dortmund,Kreisfreie Stadt
14612,Dresden,Kreisfreie Stadt
05112,Duisburg,Kreisfreie Stadt
05358,Düren,Kreis
05111,Düsseldorf,Kreisfreie Stadt
09175,Ebersberg,Landkreis
16061,Eichsfeld,Landkreis
09176,Eichstätt,Landkreis
16056,Eisenach,Kreisfreie Stadt
12062,Elbe-Elster,Landkreis
03402,Emden,Kreisfreie Stadt
08316,Emmendingen,Landkreis
03454,Emsland,Landkreis
09177,Erding,Landkreis
16051,Erfurt,Kreisfreie Stadt
09562,Erlangen,Kreisfreie Stadt
09572,Erlangen-Höchstadt,Landkreis
05113,Essen,Kreisfreie Stadt
08116,Esslingen,Landkreis
05366,Euskirchen,Kreis
01001,Flensburg,Kreisfreie Stadt
09474,Forchheim,Landkreis
07311,Frankenthal (Pfalz),Kreisfreie Stadt
12053,Frankfurt (Oder),Kreisfreie Stadt
06412,Frankfurt am Main,Kreisfreie Stadt
08311,Freiburg im Breisgau,Stadtkreis
09178,Freising,Landkreis
08237,Freudenstadt,Landkreis
09272,Freyung-Grafenau,Landkreis
03455,Friesland,Landkreis
06631,Fulda,Landkreis
09179,Fürstenfeldbruck,Landkreis
09563,Fürth,Kreisfreie Stadt
09573,Fürth,Landkreis
09180,Garmisch-Partenkirchen,Landkreis
05513,Gelsenkirchen,Kreisfreie Stadt
16052,Gera,Kreisfreie Stadt
07334,Germersheim,Landkreis
06531,Gießen,Landkreis
03151,Gifhorn,Landkreis
03153,Goslar,Landkreis
16067,Gotha,Landkreis
03456,Grafschaft Bentheim,Landkreis
16076,Greiz,Landkreis
06433,Groß-Gerau,Landkreis
08117,Göppingen,Landkreis
14626,Görlitz,Landkreis
03159,Göttingen,Landkreis
09774,Günzburg,Landkreis
05754,Gütersloh,Kreis
05914,Hagen,Kreisfreie Stadt
15002,Halle (Saale),Kreisfreie Stadt
02000,Hamburg,Kreisfreie Stadt
03252,Hameln-Pyrmont,Landkreis
05915,Hamm,Kreisfreie Stadt
03353,Harburg,Landkreis
15085,Harz,Landkreis
12063,Havelland,Landkreis
09674,Haßberge,Landkreis
08221,Heidelberg,Stadtkreis
08135,Heidenheim,Landkreis
08121,Heilbronn,Stadtkreis
08125,Heilbronn,Landkreis
05370,Heinsberg,Kreis
03154,Helmstedt,Landkreis
05758,Herford,Kreis
05916,Herne,Kreisfreie Stadt
06632,Hersfeld-Rotenburg,Landkreis
01053,Herzogtum Lauenburg,Kreis
16069,Hildburghausen,Landkreis
03254,Hildesheim,Landkreis
09475,Hof,Landkreis
09464,Hof,Kreisfreie Stadt
03255,Holzminden,Landkreis
05762,Höxter,Kreis
09161,Ingolstadt,Kreisfreie Stadt
16053,Jena,Kreisfreie Stadt
15086,Jerichower Land,Landkreis
07312,Kaiserslautern,Kreisfreie Stadt
07335,Kaiserslautern,Landkreis
08212,Karlsruhe,Stadtkreis
08215,Karlsruhe,Landkreis
06611,Kassel,Kreisfreie Stadt
06633,Kassel,Landkreis
09762,Kaufbeuren,Kreisfreie Stadt
09273,Kelheim,Landkreis
09763,Kempten (Allgäu),Kreisfreie Stadt
01002,Kiel,Kreisfreie Stadt
09675,Kitzingen,Landkreis
05154,Kleve,Kreis
07111,Koblenz,Kreisfreie Stadt
08335,Konstanz,Landkreis
05114,Krefeld,Kreisfreie Stadt
05954,Kreis Ennepe-Ruhr-Kreis,Kreis
05958,Kreis Hochsauerlandkreis,Kreis
05962,Kreis Märkischer Kreis,Kreis
05374,Kreis Oberbergischer Kreis,Kreis
05362,Kreis Rhein-Erft-Kreis,Kreis
05162,Kreis Rhein-Kreis Neuss,Kreis
05382,Kreis Rhein-Sieg-Kreis,Kreis
05378,Kreis Rheinisch-Bergischer Kreis,Kreis
05334,Kreis Städteregion Aachen,Kreis
09476,Kronach,Landkreis
